Priority,Type,Used On (# pages),Asset ID,Dimensions,Action,Image URL
Medium,Content Image (Sanity),3,b0b9b8d4858ff941d26cfa4c4da06ec385131dd1-800x533.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/b0b9b8d4858ff941d26cfa4c4da06ec385131dd1-800x533.jpg?w=1200&auto=format
Medium,Content Image (Sanity),3,a3511e78f9b1a8d11c2021cd7b2a6b4a5baac13a-800x530.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/a3511e78f9b1a8d11c2021cd7b2a6b4a5baac13a-800x530.jpg?w=1200&auto=format
Medium,Content Image (Sanity),3,6fe6c67a42164c7f821f199f5d50b2b44129ce21-1080x720.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/6fe6c67a42164c7f821f199f5d50b2b44129ce21-1080x720.jpg?w=1200&auto=format
Medium,Content Image (Sanity),3,d6c98adfe8feef932372e20ba89a9f7180c573a5-1024x576.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/d6c98adfe8feef932372e20ba89a9f7180c573a5-1024x576.jpg?w=1200&auto=format
Medium,Content Image (Sanity),3,907e48d44df1fb227a9fbacf136de2a863f12d06-1024x683.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/907e48d44df1fb227a9fbacf136de2a863f12d06-1024x683.jpg?w=1200&auto=format
Medium,Content Image (Sanity),3,e907b6997eaf822f72c54a43acfc5f8f81979a06-1024x687.png,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/e907b6997eaf822f72c54a43acfc5f8f81979a06-1024x687.png?w=1200&auto=format
Medium,Content Image (Sanity),3,fd4c30037f28c578a74cd30b2b8e7fc2aa8c6713-1024x683.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/fd4c30037f28c578a74cd30b2b8e7fc2aa8c6713-1024x683.jpg?w=1200&auto=format
Medium,Content Image (Sanity),3,20386618d40449d3686c811623103a9bd654e9b6-800x600.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/20386618d40449d3686c811623103a9bd654e9b6-800x600.jpg?w=1200&auto=format
Medium,Content Image (Sanity),3,b6cd83fed80f0661c686bad518a6b244ed7ed54a-1024x683.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/b6cd83fed80f0661c686bad518a6b244ed7ed54a-1024x683.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,49f58d4935b880e5c90d3d091d0da517af3e8d61-1280x1920.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/49f58d4935b880e5c90d3d091d0da517af3e8d61-1280x1920.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,1bf928bcae240012c4e43a9ae856138b4251c8f0-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/1bf928bcae240012c4e43a9ae856138b4251c8f0-1920x1080.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,346e8c828b46c341d61ea06d60a37284e474b664-1024x683.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/346e8c828b46c341d61ea06d60a37284e474b664-1024x683.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,fd9ea50bc1f9831694438ad44cc396899ebdfb92-1080x1422.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/fd9ea50bc1f9831694438ad44cc396899ebdfb92-1080x1422.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,01ef26850e6d48a5d0eb002b0b4f9cc4621c5ed6-1280x1920.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/01ef26850e6d48a5d0eb002b0b4f9cc4621c5ed6-1280x1920.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,2c0bc18db65ffb16215f34a45094d4a7c2ad120c-1920x1082.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/2c0bc18db65ffb16215f34a45094d4a7c2ad120c-1920x1082.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,a9aff0c089405d7d41ab329ca461add7d8dce205-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/a9aff0c089405d7d41ab329ca461add7d8dce205-1920x1280.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,46269216594dca9a811eb7bddd8c6a1f99f07c49-1280x1920.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/46269216594dca9a811eb7bddd8c6a1f99f07c49-1280x1920.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,af6cd14f9aa8ded3661b4910f00c57bf1491fff9-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/af6cd14f9aa8ded3661b4910f00c57bf1491fff9-1920x1080.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,833e55ad821988153346afb1f0e4affc4a6c1a44-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/833e55ad821988153346afb1f0e4affc4a6c1a44-1920x1080.jpg?w=1200&auto=format
