slug,title,issue,link_text,href,normalized_href,link_type
5-best-surfers,Icons of the Ocean: Profiles of 5 Legendary Surfers,MISSING_IN_SANITY,Vince Basile,https://www.flickr.com/photos/66480811@N07/,https://www.flickr.com/photos/66480811@n07,external
5-best-surfers,Icons of the Ocean: Profiles of 5 Legendary Surfers,MISSING_IN_SANITY,Troy_Williams,https://www.flickr.com/photos/troy_williams/,https://www.flickr.com/photos/troy_williams,external
5-best-surfers,Icons of the Ocean: Profiles of 5 Legendary Surfers,MISSING_IN_SANITY,Eva Rinaldi,https://www.flickr.com/photos/evarinaldiphotography/,https://www.flickr.com/photos/evarinaldiphotography,external
5-best-surfers,Icons of the Ocean: Profiles of 5 Legendary Surfers,MISSING_IN_SANITY,Global Sports Forum,https://www.flickr.com/photos/globalsportsforum/,https://www.flickr.com/photos/globalsportsforum,external
6-of-the-best-tips-for-beginner-surfers,6 of the Best Tips for Beginner Surfers,MISSING_IN_SANITY,learning to surf in a beautiful destination,https://www.rapturecamps.com/surfcamp/costa-rica/avellanas/surf/,/surfcamp/costa-rica/avellanas/surf,internal
7-biggest-waves-in-the-world,7 of The Biggest Waves in the World,MISSING_IN_SANITY,BirdsEyePix,https://www.flickr.com/photos/38534720@N00/,https://www.flickr.com/photos/38534720@n00,external
7-biggest-waves-in-the-world,7 of The Biggest Waves in the World,MISSING_IN_SANITY,UltraView,https://www.flickr.com/photos/69658016@N03/,https://www.flickr.com/photos/69658016@n03,external
7-biggest-waves-in-the-world,7 of The Biggest Waves in the World,MISSING_IN_SANITY,Chris Hoare,https://www.flickr.com/photos/u07ch/,https://www.flickr.com/photos/u07ch,external
7-biggest-waves-in-the-world,7 of The Biggest Waves in the World,MISSING_IN_SANITY,John Menard,https://www.flickr.com/photos/jmenard48/,https://www.flickr.com/photos/jmenard48,external
7-of-the-weirdest-waves-around-the-world-and-where-to-find-them,7 Weirdest Waves To Surf around the Globe – Where are they?,MISSING_IN_SANITY,playful ocean waves,https://www.rapturecamps.com/surfcamp/portugal/ericeira-lizandro/surf/,/surfcamp/portugal/ericeira-lizandro/surf,internal
